Symbol,Company Name,Industry,Market Cap
ADTX,"Aditxt, Inc.",Biotechnology,5033148
ADUS,Addus HomeCare Corporation,Medical Care Facilities,1483482903
ADV,Advantage Solutions Inc.,Advertising Agencies,1292520240
ADVM,"Adverum Biotechnologies, Inc.",Biotechnology,87014555
ADXN,Addex Therapeutics Ltd,Biotechnology,10421986
AE,"Adams Resources & Energy, Inc.",Oil & Gas Refining & Marketing,60732594
AEAE,AltEnergy Acquisition Corp.,Shell Companies,80235873
AEE,Ameren Corporation,Utilities - Regulated Electric,18103763250
AEG,Aegon N.V.,Insurance - Diversified,10803106194
AEHL,Antelope Enterprise Holdings Limited,Building Products & Equipment,4064649
AEHR,Aehr Test Systems,Semiconductor Equipment & Materials,472838388
AEI,Alset EHome International Inc.,Real Estate - Development,13483275
AEIS,"Advanced Energy Industries, Inc.",Electrical Equipment & Parts,4011403320
AEL,American Equity Investment Life Holding Company,Insurance - Life,4405632600
AEM,Agnico Eagle Mines Limited,Gold,24402517232
AEMD,"Aethlon Medical, Inc.",Medical Devices,4786387
AENT,Alliance Entertainment Holding Corporation,Entertainment,71352400
AEO,"American Eagle Outfitters, Inc.",Apparel Retail,4015947540
AEON,"AEON Biopharma, Inc.",Biotechnology,300992760
AEP,"American Electric Power Company, Inc.",Utilities - Regulated Electric,40629179760
AER,AerCap Holdings N.V.,Rental & Leasing Services,15897679200
AERT,Aeries Technology Inc.,Consulting Services,68800000
AES,The AES Corporation,Utilities - Diversified,11236374620
AESI,Atlas Energy Solutions Inc.,Oil & Gas Equipment & Services,2437321134
AEVA,"Aeva Technologies, Inc.",Auto Parts,244813837
AEY,"ADDvantage Technologies Group, Inc.",Electronics & Computer Distribution,3662040
AEYE,"AudioEye, Inc.",Software - Application,61941169
AEZS,Aeterna Zentaris Inc.,Biotechnology,9468966
AFAR,Aura FAT Projects Acquisition Corp,Shell Companies,63598612
AFBI,"Affinity Bancshares, Inc.",Banks - Regional,104512752
AFCG,"AFC Gamma, Inc.",REIT - Specialty,247538170
AFG,"American Financial Group, Inc.",Insurance - Property & Casualty,10127898242
AFIB,"Acutus Medical, Inc.",Medical Devices,4981646
AFJK,"Aimei Health Technology Co., Ltd",Shell Companies,79829750
AFL,Aflac Incorporated,Insurance - Life,49380110000
AFMD,Affimed N.V.,Biotechnology,86616620
AFRI,Forafric Global PLC,Farm Products,602918375
AFRM,"Affirm Holdings, Inc.",Software - Infrastructure,13381902368
AFYA,Afya Limited,Education & Training Services,1891326770
AG,First Majestic Silver Corp.,Silver,1400272080
AGAE,Allied Gaming & Entertainment Inc.,Entertainment,41632251
AGBA,AGBA Acquisition Limited,Shell Companies,25383043
AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,8856045773
AGE,"AgeX Therapeutics, Inc.",Biotechnology,15560033
AGEN,Agenus Inc.,Biotechnology,224509808
AGFY,Agrify Corporation,Engineering & Construction,1493689
AGI,Alamos Gold Inc.,Gold,4798013027
AGIO,"Agios Pharmaceuticals, Inc.",Biotechnology,1201656896
AGL,"agilon health, inc.",Medical Care Facilities,2728595520
AGM,Federal Agricultural Mortgage Corporation,Credit Services,2002453305
AGM.A,Federal Agricultural Mortgage Corporation,Credit Services,2009867413
AGMH,AGM Group Holdings Inc.,Software - Application,44803230
AGNC,AGNC Investment Corp.,REIT - Mortgage,6509728200
AGO,Assured Guaranty Ltd.,Insurance - Specialty,4695041200
AGR,"Avangrid, Inc.",Utilities - Regulated Electric,11997636668
AGRI,AgriFORCE Growing Systems Ltd.,Farm Products,1623197
AGRO,Adecoagro S.A.,Farm Products,1073200710
AGRX,"Agile Therapeutics, Inc.",Drug Manufacturers - Specialty & Generic,3717257
AGS,"PlayAGS, Inc.",Gambling,320149894
AGTI,"Agiliti, Inc.",Health Information Services,988406520
AGX,"Argan, Inc.",Engineering & Construction,600155337
AGYS,"Agilysys, Inc.",Software - Application,2200118843
AHCO,AdaptHealth Corp.,Medical Devices,983371900
AHG,Akso Health Group,Credit Services,29039820
AHH,"Armada Hoffler Properties, Inc.",REIT - Diversified,1090790152
AHI,Advanced Human Imaging Limited,Software - Application,14804936
AHT,"Ashford Hospitality Trust, Inc.",REIT - Hotel & Motel,50734698
AI,"C3.ai, Inc.",Information Technology Services,3076690600
AIB,AIB Acquisition Corporation,Shell Companies,49836101
AIG,"American International Group, Inc.",Insurance - Diversified,48623290400
AIH,Aesthetic Medical International Holdings Group Limited,Medical Care Facilities,23635398
AIHS,Senmiao Technology Limited,Credit Services,4745748
AIM,AIM ImmunoTech Inc.,Biotechnology,20440251
AIMAU,Aimfinity Investment Corp. I,Shell Companies,36683
AIMD,"Ainos, Inc.",Biotechnology,5613372
AIN,Albany International Corp.,Textile Manufacturing,2961690792
AINC,Ashford Inc.,Asset Management,9802639
AIP,"Arteris, Inc.",Semiconductors,204387935
AIR,AAR Corp.,Aerospace & Defense,2094653400
AIRC,Apartment Income REIT Corp.,REIT - Residential,5071258500
AIRE,reAlpha Tech Corp.,Real Estate Services,56476288
AIRG,"Airgain, Inc.",Communication Equipment,34777521
AIRI,Air Industries Group,Aerospace & Defense,12881895
AIRS,"AirSculpt Technologies, Inc.",Medical Care Facilities,461094906
AIRT,"Air T, Inc.",Integrated Freight & Logistics,44576805
AISP,Airship AI Holdings Inc,Software - Infrastructure,33800000
AIT,"Applied Industrial Technologies, Inc.",Industrial Distribution,6864008400
AITR,AI Transportation Acquisition Corp,Shell Companies,82320678
AIU,Meta Data Limited,Education & Training Services,79310000
AIV,Apartment Investment and Management Company,REIT - Residential,1126724800
AIXI,Xiao-I Corporation,Software - Application,113845290
AIZ,"Assurant, Inc.",Insurance - Specialty,8877293280
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,51280568000
AJX,Great Ajax Corp.,REIT - Mortgage,146411902
AKA,a.k.a. Brands Holding Corp.,Internet Retail,95839319
AKAM,"Akamai Technologies, Inc.",Software - Infrastructure,18384912480
AKAN,Akanda Corp.,Drug Manufacturers - Specialty & Generic,1549802
AKBA,"Akebia Therapeutics, Inc.",Biotechnology,261860699
AKLI,"Akili, Inc.",Health Information Services,23798348
AKO.A,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,2067777033
AKO.B,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,2338032840
AKR,Acadia Realty Trust,REIT - Retail,1715265000
AKRO,"Akero Therapeutics, Inc.",Biotechnology,1245114030
AKTS,"Akoustis Technologies, Inc.",Communication Equipment,52557931
AKTX,"Akari Therapeutics, Plc",Biotechnology,14133625
AKYA,"Akoya Biosciences, Inc.",Medical Instruments & Supplies,248325572
AL,Air Lease Corporation,Rental & Leasing Services,4556548080
ALAR,Alarum Technologies Ltd.,Software - Infrastructure,58560843
ALB,Albemarle Corporation,Specialty Chemicals,14170374750
ALBT,Avalon GloboCare Corp.,Real Estate Services,4509795
ALC,Alcon Inc.,Medical Instruments & Supplies,38881708000
ALCC,AltC Acquisition Corp.,Shell Companies,459020549
ALCE,Alternus Energy Group Plc,Utilities - Renewable,73400000
ALCO,"Alico, Inc.",Farm Products,230157938
ALCY,Alchemy Investments Acquisition Corp 1,Shell Companies,157190240
ALDX,"Aldeyra Therapeutics, Inc.",Biotechnology,181760289
ALE,"ALLETE, Inc.",Utilities - Diversified,3410708916
ALEC,"Alector, Inc.",Biotechnology,565285129
ALEX,"Alexander & Baldwin, Inc.",REIT - Diversified,1310005578
ALG,Alamo Group Inc.,Farm & Heavy Construction Machinery,2511787498
ALGM,"Allegro MicroSystems, Inc.",Semiconductors,5425842060
ALGN,"Align Technology, Inc.",Medical Devices,20802365451
ALGS,"Aligos Therapeutics, Inc.",Biotechnology,51021095
ALGT,Allegiant Travel Company,Airlines,1401435392
ALHC,"Alignment Healthcare, Inc.",Healthcare Plans,1410686000
ALIM,"Alimera Sciences, Inc.",Drug Manufacturers - Specialty & Generic,204949688
ALIT,"Alight, Inc.",Software - Application,4788349743
ALK,"Alaska Air Group, Inc.",Airlines,4460085990
ALKS,Alkermes plc,Biotechnology,4749433260
ALKT,"Alkami Technology, Inc.",Software - Application,2381184146
ALL,The Allstate Corporation,Insurance - Property & Casualty,40663542930
ALLE,Allegion plc,Security & Protection Services,11007687164
ALLG,Allego N.V.,Auto Parts,277865120
ALLK,Allakos Inc.,Biotechnology,105846323
ALLO,"Allogene Therapeutics, Inc.",Biotechnology,531755295
ALLR,"Allarity Therapeutics, Inc.",Biotechnology,2567291
ALLT,Allot Ltd.,Software - Infrastructure,64652640
ALLY,Ally Financial Inc.,Credit Services,10955201600
ALNT,Allient Inc.,Electronic Components,457807112
ALNY,"Alnylam Pharmaceuticals, Inc.",Biotechnology,23080672560
ALOT,"AstroNova, Inc.",Computer Hardware,133790400
ALPN,"Alpine Immune Sciences, Inc.",Biotechnology,1151911776
ALPP,"Alpine 4 Holdings, Inc.",Metal Fabrication,14589723
ALRM,"Alarm.com Holdings, Inc.",Software - Application,3125737134
ALRN,"Aileron Therapeutics, Inc.",Biotechnology,19884921
ALRS,Alerus Financial Corporation,Banks - Regional,429336960
ALSA,Alpha Star Acquisition Corporation,Shell Companies,137407234
ALSN,"Allison Transmission Holdings, Inc.",Auto Parts,5213378622
ALT,"Altimmune, Inc.",Biotechnology,539438156
ALTG,Alta Equipment Group Inc.,Rental & Leasing Services,357991186
ALTI,"AlTi Global, Inc.",Asset Management,707358006
ALTM,Arcadium Lithium plc,Specialty Chemicals,5454300000
ALTO,"Alto Ingredients, Inc.",Specialty Chemicals,158369328
ALTR,Altair Engineering Inc.,Software - Infrastructure,7196034996
ALTU,Altitude Acquisition Corp.,Shell Companies,86873465
ALUR,Allurion Technologies Inc.,Medical Devices,141833939
ALV,"Autoliv, Inc.",Auto Parts,8758155064
